Country,Year,Value,Rainfall,Temperature,Area Code,Item,Yield
Albania,1990,121.0,1485,16.37,3.0,Maize,36613.0
Albania,1990,121.0,1485,16.37,3.0,Potatoes,66667.0
Albania,1990,121.0,1485,16.37,3.0,"Rice, paddy",23333.0
Albania,1990,121.0,1485,16.37,3.0,Sorghum,12500.0
Albania,1990,121.0,1485,16.37,3.0,Soybeans,7000.0
Albania,1990,121.0,1485,16.37,3.0,Wheat,30197.0
Albania,1991,121.0,1485,15.36,3.0,Maize,29068.0
Albania,1991,121.0,1485,15.36,3.0,Potatoes,77818.0
Albania,1991,121.0,1485,15.36,3.0,"Rice, paddy",28538.0
Albania,1991,121.0,1485,15.36,3.0,Sorghum,6667.0
Albania,1991,121.0,1485,15.36,3.0,Soybeans,6066.0
Albania,1991,121.0,1485,15.36,3.0,Wheat,20698.0
Albania,1992,121.0,1485,16.06,3.0,Maize,24876.0
Albania,1992,121.0,1485,16.06,3.0,Potatoes,82920.0
Albania,1992,121.0,1485,16.06,3.0,"Rice, paddy",40000.0
Albania,1992,121.0,1485,16.06,3.0,Sorghum,3747.0
Albania,1992,121.0,1485,16.06,3.0,Soybeans,4507.0
Albania,1992,121.0,1485,16.06,3.0,Wheat,24388.0
Albania,1993,121.0,1485,16.05,3.0,Maize,24185.0
Albania,1993,121.0,1485,16.05,3.0,Potatoes,98446.0
Albania,1993,121.0,1485,16.05,3.0,"Rice, paddy",41786.0
Albania,1993,121.0,1485,16.05,3.0,Soybeans,7998.0
Albania,1993,121.0,1485,16.05,3.0,Wheat,29976.0
Albania,1994,201.0,1485,16.96,3.0,Maize,25848.0
Albania,1994,201.0,1485,16.96,3.0,Potatoes,81404.0
Albania,1994,201.0,1485,16.96,3.0,Soybeans,7927.0
Albania,1994,201.0,1485,16.96,3.0,Wheat,24745.0
Albania,1995,251.0,1485,15.67,3.0,Maize,31300.0
Albania,1995,251.0,1485,15.67,3.0,Potatoes,111323.0
Albania,1995,251.0,1485,15.67,3.0,Soybeans,11791.0
Albania,1995,251.0,1485,15.67,3.0,Wheat,28703.0
Albania,1996,313.96,1485,15.64,3.0,Maize,32604.0
Albania,1996,313.96,1485,15.64,3.0,Potatoes,106138.0
Albania,1996,313.96,1485,15.64,3.0,Soybeans,15480.0
Albania,1996,313.96,1485,15.64,3.0,Wheat,21741.0
Albania,1997,376.93,1485,15.9,3.0,Maize,31862.0
Albania,1997,376.93,1485,15.9,3.0,Potatoes,109874.0
Albania,1997,376.93,1485,15.9,3.0,Soybeans,12768.0
Albania,1997,376.93,1485,15.9,3.0,Wheat,28516.0
Albania,1998,439.89,1485,16.27,3.0,Maize,33416.0
Albania,1998,439.89,1485,16.27,3.0,Potatoes,127212.0
Albania,1998,439.89,1485,16.27,3.0,Soybeans,14327.0
Albania,1998,439.89,1485,16.27,3.0,Wheat,28037.0
Albania,1999,502.86,1485,16.57,3.0,Maize,37455.0
Albania,1999,502.86,1485,16.57,3.0,Potatoes,142018.0
Albania,1999,502.86,1485,16.57,3.0,Soybeans,17143.0
Albania,1999,502.86,1485,16.57,3.0,Wheat,24954.0
Albania,2000,565.82,1485,16.67,3.0,Maize,38811.0
Albania,2000,565.82,1485,16.67,3.0,Potatoes,141228.0
Albania,2000,565.82,1485,16.67,3.0,Soybeans,15000.0
Albania,2000,565.82,1485,16.67,3.0,Wheat,30455.0
Albania,2001,628.79,1485,16.59,3.0,Maize,38135.0
Albania,2001,628.79,1485,16.59,3.0,Potatoes,148818.0
Albania,2001,628.79,1485,16.59,3.0,Soybeans,20000.0
Albania,2001,628.79,1485,16.59,3.0,Wheat,28220.0
Albania,2002,691.75,1485,16.47,3.0,Maize,39460.0
Albania,2002,691.75,1485,16.47,3.0,Potatoes,153868.0
Albania,2002,691.75,1485,16.47,3.0,Soybeans,20000.0
Albania,2002,691.75,1485,16.47,3.0,Wheat,31617.0
Albania,2004,817.68,1485,16.16,3.0,Maize,46197.0
Albania,2004,817.68,1485,16.16,3.0,Potatoes,149346.0
Albania,2004,817.68,1485,16.16,3.0,Soybeans,13333.0
Albania,2004,817.68,1485,16.16,3.0,Wheat,31130.0
Albania,2005,880.64,1485,15.67,3.0,Maize,45442.0
Albania,2005,880.64,1485,15.67,3.0,Potatoes,167061.0
Albania,2005,880.64,1485,15.67,3.0,Soybeans,17500.0
Albania,2005,880.64,1485,15.67,3.0,Wheat,31582.0
Albania,2006,943.61,1485,15.92,3.0,Maize,50111.0
Albania,2006,943.61,1485,15.92,3.0,Potatoes,170745.0
Albania,2006,943.61,1485,15.92,3.0,Soybeans,20000.0
Albania,2006,943.61,1485,15.92,3.0,Wheat,30787.0
Albania,2007,1006.57,1485,16.67,3.0,Maize,46732.0
Albania,2007,1006.57,1485,16.67,3.0,Potatoes,188902.0
Albania,2007,1006.57,1485,16.67,3.0,Soybeans,20000.0
Albania,2007,1006.57,1485,16.67,3.0,Wheat,35496.0
Albania,2008,1069.54,1485,16.71,3.0,Maize,50000.0
Albania,2008,1069.54,1485,16.71,3.0,Potatoes,193878.0
Albania,2008,1069.54,1485,16.71,3.0,Soybeans,20000.0
Albania,2008,1069.54,1485,16.71,3.0,Wheat,40168.0
Albania,2009,1132.5,1485,16.73,3.0,Maize,55693.0
Albania,2009,1132.5,1485,16.73,3.0,Potatoes,219780.0
Albania,2009,1132.5,1485,16.73,3.0,Soybeans,16667.0
Albania,2009,1132.5,1485,16.73,3.0,Wheat,40229.0
Albania,2010,1311.17,1485,16.52,3.0,Maize,66790.0
Albania,2010,1311.17,1485,16.52,3.0,Potatoes,231111.0
Albania,2010,1311.17,1485,16.52,3.0,Soybeans,16667.0
Albania,2010,1311.17,1485,16.52,3.0,Wheat,39905.0
Albania,2011,1302.63,1485,16.45,3.0,Maize,59869.0
Albania,2011,1302.63,1485,16.45,3.0,Potatoes,242211.0
Albania,2011,1302.63,1485,16.45,3.0,Soybeans,18519.0
Albania,2011,1302.63,1485,16.45,3.0,Wheat,42301.0
Albania,2012,766.25,1485,16.7,3.0,Maize,67290.0
Albania,2012,766.25,1485,16.7,3.0,Potatoes,250538.0
Albania,2012,766.25,1485,16.7,3.0,Soybeans,13333.0
Albania,2012,766.25,1485,16.7,3.0,Wheat,41096.0
Albania,2013,982.32,1485,17.41,3.0,Maize,69533.0
Albania,2013,982.32,1485,17.41,3.0,Potatoes,260110.0
Albania,2013,982.32,1485,17.41,3.0,Soybeans,10000.0
Albania,2013,982.32,1485,17.41,3.0,Wheat,41292.0
Algeria,1990,1828.92,89,17.48,4.0,Maize,16500.0
Algeria,1990,1828.92,89,17.48,4.0,Potatoes,78936.0
Algeria,1990,1828.92,89,17.48,4.0,"Rice, paddy",28000.0
Algeria,1990,1828.92,89,17.48,4.0,Sorghum,16571.0
Algeria,1990,1828.92,89,17.48,4.0,Wheat,6315.0
Algeria,1991,2461.8,89,16.26,4.0,Maize,19231.0
Algeria,1991,2461.8,89,16.26,4.0,Potatoes,90747.0
Algeria,1991,2461.8,89,16.26,4.0,"Rice, paddy",26786.0
Algeria,1991,2461.8,89,16.26,4.0,Sorghum,24231.0
Algeria,1991,2461.8,89,16.26,4.0,Wheat,10809.0
Algeria,1992,1215.47,89,16.27,4.0,Maize,22828.0
Algeria,1992,1215.47,89,16.27,4.0,Potatoes,107917.0
Algeria,1992,1215.47,89,16.27,4.0,"Rice, paddy",24733.0
Algeria,1992,1215.47,89,16.27,4.0,Sorghum,40000.0
Algeria,1992,1215.47,89,16.27,4.0,Wheat,9939.0
Algeria,1993,1021.89,89,17.0,4.0,Maize,12500.0
Algeria,1993,1021.89,89,17.0,4.0,Potatoes,111215.0
Algeria,1993,1021.89,89,17.0,4.0,"Rice, paddy",23111.0
Algeria,1993,1021.89,89,17.0,4.0,Sorghum,50000.0
Algeria,1993,1021.89,89,17.0,4.0,Wheat,8097.0
Algeria,1994,1255.02,89,17.88,4.0,Maize,4512.0
Algeria,1994,1255.02,89,17.88,4.0,Potatoes,95078.0
Algeria,1994,1255.02,89,17.88,4.0,"Rice, paddy",21374.0
Algeria,1994,1255.02,89,17.88,4.0,Wheat,7999.0
Algeria,1995,2697.09,89,17.36,4.0,Maize,16115.0
Algeria,1995,2697.09,89,17.36,4.0,Potatoes,136768.0
Algeria,1995,2697.09,89,17.36,4.0,"Rice, paddy",19598.0
Algeria,1995,2697.09,89,17.36,4.0,Sorghum,12667.0
Algeria,1995,2697.09,89,17.36,4.0,Wheat,8924.0
Algeria,1996,479.77,89,16.76,4.0,Maize,17154.0
Algeria,1996,479.77,89,16.76,4.0,Potatoes,134629.0
Algeria,1996,479.77,89,16.76,4.0,"Rice, paddy",17861.0
Algeria,1996,479.77,89,16.76,4.0,Sorghum,14750.0
Algeria,1996,479.77,89,16.76,4.0,Wheat,13090.0
Algeria,1997,401.22,89,17.84,4.0,Maize,21417.0
Algeria,1997,401.22,89,17.84,4.0,Potatoes,141042.0
Algeria,1997,401.22,89,17.84,4.0,"Rice, paddy",15000.0
Algeria,1997,401.22,89,17.84,4.0,Sorghum,40000.0
Algeria,1997,401.22,89,17.84,4.0,Wheat,8016.0
Algeria,1998,322.84,89,17.14,4.0,Maize,17222.0
Algeria,1998,322.84,89,17.14,4.0,Potatoes,160256.0
Algeria,1998,322.84,89,17.14,4.0,"Rice, paddy",15000.0
Algeria,1998,322.84,89,17.14,4.0,Sorghum,24500.0
Algeria,1998,322.84,89,17.14,4.0,Wheat,8847.0
Algeria,1999,654.45,89,17.97,4.0,Maize,22375.0
Algeria,1999,654.45,89,17.97,4.0,Potatoes,153532.0
Algeria,1999,654.45,89,17.97,4.0,"Rice, paddy",13942.0
Algeria,1999,654.45,89,17.97,4.0,Sorghum,27000.0
Algeria,1999,654.45,89,17.97,4.0,Wheat,10711.0
Algeria,2000,603.67,89,17.9,4.0,Maize,36186.0
Algeria,2000,603.67,89,17.9,4.0,Potatoes,166143.0
Algeria,2000,603.67,89,17.9,4.0,"Rice, paddy",13052.0
Algeria,2000,603.67,89,17.9,4.0,Sorghum,69500.0
Algeria,2000,603.67,89,17.9,4.0,Wheat,9194.0
Algeria,2001,710.11,89,18.13,4.0,Maize,27175.0
Algeria,2001,710.11,89,18.13,4.0,Potatoes,147018.0
Algeria,2001,710.11,89,18.13,4.0,"Rice, paddy",12314.0
Algeria,2001,710.11,89,18.13,4.0,Sorghum,27750.0
Algeria,2001,710.11,89,18.13,4.0,Wheat,11104.0
Algeria,2002,816.55,89,17.85,4.0,Maize,33480.0
Algeria,2002,816.55,89,17.85,4.0,Potatoes,183774.0
Algeria,2002,816.55,89,17.85,4.0,"Rice, paddy",12959.0
Algeria,2002,816.55,89,17.85,4.0,Sorghum,33900.0
Algeria,2002,816.55,89,17.85,4.0,Wheat,10739.0
Algeria,2004,3747.86,89,17.38,4.0,Maize,31729.0
Algeria,2004,3747.86,89,17.38,4.0,Potatoes,203585.0
Algeria,2004,3747.86,89,17.38,4.0,"Rice, paddy",12829.0
Algeria,2004,3747.86,89,17.38,4.0,Sorghum,43316.0
Algeria,2004,3747.86,89,17.38,4.0,Wheat,13582.0
Algeria,2005,3662.87,89,17.19,4.0,Maize,33864.0
Algeria,2005,3662.87,89,17.19,4.0,Potatoes,216267.0
Algeria,2005,3662.87,89,17.19,4.0,"Rice, paddy",12998.0
Algeria,2005,3662.87,89,17.19,4.0,Sorghum,33486.0
Algeria,2005,3662.87,89,17.19,4.0,Wheat,15057.0
